Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Duplex,4000000,3.0,3.0,400.0,No,7,Unknown,Cash,Ready to move,Finished,Nasr City
Apartment,4000000,3.0,3.0,160.0,No,10+,Unknown,Cash,Ready to move,Finished,Camp Caesar
Apartment,2250000,3.0,2.0,165.0,No,1,Unknown,Cash,Ready to move,Finished,Smoha
Apartment,1900000,3.0,2.0,230.0,No,10,Unknown,Cash,Ready to move,Finished,Nasr City
Apartment,5800000,2.0,3.0,160.0,No,Ground,Eastown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1844900,4.0,3.0,222.0,No,1,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Duplex,3900000,5.0,5.0,290.0,No,Highest,Jayd,Unknown Payment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1650000,2.0,2.0,144.0,No,1,Zayed 2000,Unknown Payment,Ready to move,Finished,Sheikh Zayed
Apartment,1560000,3.0,3.0,200.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,992800,3.0,2.0,146.0,Unknown,3,Unknown,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,309825,4.0,3.0,153.0,No,1,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1150000,3.0,2.0,165.0,No,2,Unknown,Cash,Ready to move,Finished,Shorouk City
Apartment,550000,2.0,1.0,94.0,No,2,Unknown,Cash,Ready to move,Finished,Smoha
Apartment,2600000,3.0,2.0,140.0,Yes,10+,Unknown,Cash or Installment,Ready to move,Finished,Sidi Beshr
Apartment,800000,2.0,1.0,130.0,No,3,Unknown,Cash,Unknown,Finished,Gesr Al Suez
Apartment,480000,3.0,3.0,167.0,Unknown,3,90 Avenue,Cash or Installment,Unknown,Finished,New Cairo - El Tagamoa
Penthouse,975000,4.0,2.0,229.0,No,4,Unknown,Cash,Ready to move,Semi Finished,Mokattam
Apartment,143000,1.0,1.0,71.0,No,1,Armonia,Cash or Installment,Unknown,Semi Finished,New Capital City
Apartment,1600000,3.0,2.0,220.0,No,9,Unknown,Cash or Installment,Ready to move,Core & Shell,Nasr City
Duplex,1100000,3.0,2.0,165.0,Unknown,Ground,Unknown,Installment,Unknown,Semi Finished,New Damietta
Apartment,820000,3.0,3.0,184.0,Unknown,1,Palm Hills New Cairo,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,2350000,3.0,3.0,178.0,No,2,La Mirada,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1050000,3.0,1.0,108.0,No,3,Maadi V,Cash or Installment,2023,Semi Finished,Zahraa Al Maadi
Apartment,1500000,3.0,2.0,136.0,No,3,One Kattameya,Cash,Ready to move,Not Finished,Nasr City
Apartment,2100000,3.0,2.0,168.0,No,3,Gardenia,Cash,Ready to move,Finished,6th of October
Apartment,1730000,3.0,2.0,160.0,No,7,Unknown,Unknown Payment,Unknown,Unknown ,Smoha
Apartment,1615000,3.0,2.0,190.0,No,3,Unknown,Cash or Installment,soon,Not Finished,Mansura
Apartment,810000,3.0,2.0,127.0,No,2,Unknown,Cash,Ready to move,Semi Finished,Shorouk City
Apartment,1500000,3.0,2.0,155.0,No,2,Unknown,Cash or Installment,2023,Semi Finished,New Cairo - El Tagamoa
Apartment,1040000,3.0,3.0,164.0,No,Ground,Unknown,Installment,2024,Semi Finished,New Heliopolis
Apartment,975000,2.0,2.0,121.0,No,4,The Pearl,Cash or Installment,2024,Semi Finished,Kafr al-Sheikh City
Apartment,599000,3.0,2.0,145.0,No,2,Unknown,Cash or Installment,Ready to move,Finished,Badr City
Apartment,970669,3.0,2.0,163.0,No,1,Unknown,Installment,Ready to move,Semi Finished,Shorouk City
Duplex,6095000,4.0,5.0,246.0,No,Ground,Village West,Unknown Payment,2024,Finished,Sheikh Zayed
Apartment,5514000,3.0,3.0,170.0,No,2,Palm Parks,Cash or Installment,Unknown,Finished,Sheikh Zayed
Duplex,590000,4.0,2.0,238.0,No,Ground,Unknown,Cash or Installment,soon,Not Finished,New Cairo - El Tagamoa
Apartment,720000,1.0,1.0,90.0,No,2,Midtown Sky,Cash or Installment,2025,Semi Finished,New Capital City
Apartment,3100000,3.0,2.0,200.0,Unknown,1,Unknown,Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1368000,3.0,3.0,169.0,No,Ground,Unknown,Installment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,6200000,3.0,2.0,175.0,Unknown,4,Unknown,Cash,Unknown,Unknown ,Sporting
Apartment,550000,2.0,2.0,75.0,No,9,2020 Compound,Cash or Installment,Ready to move,Semi Finished,Imbaba
Apartment,550000,3.0,1.0,90.0,No,2,Unknown,Cash,Ready to move,Finished,Gamasa
Duplex,1100000,4.0,3.0,282.0,No,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,6th of October
Apartment,550000,2.0,1.0,85.0,No,2,Unknown,Installment,Ready to move,Finished,Borg al-Arab
Apartment,1000000,2.0,1.0,100.0,No,9,Unknown,Cash,Unknown,Unknown ,Nasr City
Apartment,657400,3.0,2.0,134.0,No,4,Unknown,Installment,2024,Semi Finished,New Heliopolis
Apartment,810000,3.0,1.0,140.0,Yes,5,Unknown,Cash,Ready to move,Finished,Mohandessin
Apartment,1446394,3.0,2.0,158.0,No,4,Unknown,Unknown Payment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1750000,3.0,2.0,160.0,No,5,Unknown,Cash,Ready to move,Finished,Glim
Apartment,1691150,3.0,2.0,154.5,No,Ground,Unknown,Cash or Installment,soon,Unknown ,New Cairo - El Tagamoa
Apartment,362000,3.0,3.0,160.0,Unknown,2,Mountain View iCity,Cash or Installment,Ready to move,Unknown ,New Cairo - El Tagamoa
Apartment,1995000,2.0,1.0,100.0,No,1,Unknown,Cash or Installment,Ready to move,Finished,Ain Sukhna
Duplex,4300000,3.0,3.0,380.0,No,Ground,Unknown,Cash,Ready to move,Finished,Sheikh Zayed
Apartment,3320000,3.0,3.0,164.0,No,2,EL Patio ORO,Cash or Installment,2024,Not Finished,New Cairo - El Tagamoa
Apartment,1500000,3.0,1.0,150.0,Unknown,7,Unknown,Cash,Ready to move,Finished,Abasiya
Apartment,2770000,2.0,2.0,128.0,No,Ground,EL Patio Casa,Cash or Installment,soon,Semi Finished,Shorouk City
Apartment,1984000,4.0,3.0,224.0,No,Ground,Beit Al Watan,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa
Apartment,1350000,2.0,2.0,150.0,Unknown,2,Unknown,Cash,Unknown,Unknown ,Fleming
Apartment,2150000,3.0,2.0,200.0,Yes,8,Unknown,Cash or Installment,Ready to move,Finished,Maadi
Apartment,550000,3.0,2.0,135.0,No,1,Unknown,Cash or Installment,Ready to move,Semi Finished,Hadayek 6th of October
Apartment,3000000,3.0,2.0,200.0,Yes,10,Unknown,Cash,Ready to move,Finished,Nasr City
Apartment,1750000,3.0,2.0,166.0,No,1,2020 Compound,Cash,Ready to move,Semi Finished,Sheikh Zayed
Apartment,2500000,2.0,1.0,143.0,Unknown,5,Madinaty,Cash,Unknown,Finished,Madinaty
Apartment,350000,2.0,1.0,85.0,No,4,Unknown,Cash,Ready to move,Finished,Haram
Apartment,1396000,3.0,3.0,179.0,Unknown,Ground,Unknown,Cash or Installment,2024,Semi Finished,6th of October
Apartment,1180000,3.0,1.0,130.0,No,4,Unknown,Cash,Ready to move,Finished,6th of October
Apartment,3100000,3.0,3.0,183.0,No,2,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1805000,2.0,2.0,105.0,Unknown,Ground,Kayan,Installment,2024,Semi Finished,Sheikh Zayed
Duplex,335000,5.0,2.0,189.0,No,5,Unknown,Cash,Ready to move,Not Finished,Damietta City
